#account_id,pred_proba,gifts_id,avg_scores
1,low,"[""10011"",""10023"",""10009""]",1.06
2,high,"[""10011"",""10023"",""10000""]",3.49
3,low,"[""10011"",""10023"",""10035""]",1.07
4,high,"[""10011"",""10004"",""10023""]",1.77
5,medium,"[""10011"",""10023"",""10035""]",1.18
6,high,"[""10011"",""10023"",""10000""]",4.81
7,medium,"[""10011"",""10023"",""10035""]",1.58
8,medium,"[""10011"",""10023"",""10035""]",1.43
9,low,"[""10011"",""10023"",""10003""]",0.46
10,low,"[""10011"",""10023"",""10035""]",0.79
